k,silhouette,validation_selected_cluster_mean,validation_positive_clusters,cluster,count,next_day_return_mean,next_day_return_median,hit_rate,period,fold
4,-1.0,0.0016931580237486545,1.0,,,,,,,1
6,0.30413430728591245,0.0014101243809971054,2.0,,,,,,,1
8,0.27627119429688907,0.002072091893044347,3.0,,,,,,,1
10,0.19118241356123766,0.0024636222756931185,4.0,,,,,,,1
6,,,,0.0,4064.0,0.001922835272415252,0.0006749755398145485,0.5167322834645669,validation,1
6,,,,4.0,1173.0,0.0008974134895789588,-0.0007518796992481702,0.4578005115089514,validation,1
6,,,,0.0,4121.0,0.0013904638060770963,0.0008754012255618449,0.5222033487017714,test,1
6,,,,4.0,1087.0,0.00042323604483987586,-0.0013440860215053752,0.46366145354185834,test,1
4,-1.0,0.0011885865832535827,1.0,,,,,,,2
6,0.2940312905721318,0.0008918793325472037,2.0,,,,,,,2
8,0.2643987819451405,0.0008247182001086742,3.0,,,,,,,2
10,0.18482694251100087,0.0007561822801485658,4.0,,,,,,,2
6,,,,0.0,1098.0,0.00037884767196326517,-0.0013516986518944951,0.46174863387978143,validation,2
6,,,,5.0,4110.0,0.0014049109931311423,0.0008962765079991719,0.5228710462287105,validation,2
6,,,,0.0,1197.0,0.0027148816522840325,-0.000747217806041367,0.47201336675020883,test,2
6,,,,5.0,4096.0,0.0011031588258706068,3.4995281501193354e-05,0.500244140625,test,2
4,0.3318864576934216,0.0020691800948051467,2.0,,,,,,,3
6,0.3029189080427867,0.0019196500107826339,3.0,,,,,,,3
8,0.16710268210380358,0.0024788741155826197,4.0,,,,,,,3
10,0.13970466712253396,0.0025540493282527063,4.0,,,,,,,3
4,,,,0.0,1068.0,0.0030777066558611015,-0.0004747353035876589,0.47752808988764045,validation,3
4,,,,1.0,4225.0,0.0010606535337491921,0.0,0.4979881656804734,validation,3
4,,,,0.0,1048.0,-0.0006623686158128666,-0.001947019388879867,0.4541984732824427,test,3
4,,,,1.0,4340.0,0.00039976492680511176,-0.0003992310366433549,0.4806451612903226,test,3
4,0.26354884021544006,0.00047825397341850535,2.0,,,,,,,4
6,0.1438759787818619,0.0013322704516221025,4.0,,,,,,,4
8,0.14829135157061327,0.0007187855428309717,3.0,,,,,,,4
10,0.14150470199597023,0.0007361650003102319,5.0,,,,,,,4
4,,,,0.0,774.0,-0.0009551370996592814,-0.002278373465043837,0.4509043927648579,validation,4
4,,,,1.0,3683.0,0.00030716903110278337,-0.0007861635220126617,0.46728210697800704,validation,4
4,,,,2.0,911.0,0.0006493389157342273,0.0008395124861502179,0.5268935236004391,validation,4
4,,,,3.0,20.0,0.0028621147156576154,0.0015755427609120964,0.6,validation,4
4,,,,0.0,733.0,-0.0010847676512576374,-0.0014685725474838929,0.461118690313779,test,4
4,,,,1.0,3371.0,-0.00018919158231716507,-0.0007614213197970621,0.47107683180065263,test,4
4,,,,2.0,1195.0,0.0005974613773366635,0.0,0.497071129707113,test,4
4,,,,3.0,125.0,-0.00013854991276403617,-0.0030592046068023127,0.44,test,4
4,0.22186256536228868,0.00029487235502198615,1.0,,,,,,,5
6,0.1676208263552625,0.0006403267169016576,3.0,,,,,,,5
8,0.1394003296039742,0.0007966082361141333,3.0,,,,,,,5
10,0.126814825768485,0.0025238586670005337,2.0,,,,,,,5
4,,,,0.0,1292.0,0.00029487235502198615,0.0,0.49458204334365324,validation,5
4,,,,1.0,700.0,-0.0010631398120870183,-0.0016167257285904513,0.4585714285714286,validation,5
4,,,,2.0,3312.0,-0.00010278924952760494,-0.0007215890970861394,0.4716183574879227,validation,5
4,,,,3.0,120.0,-0.00027159271111057426,-0.0029135163379175877,0.44166666666666665,validation,5
4,,,,0.0,1382.0,0.00048374247631246365,-0.0003549214432155279,0.48914616497829233,test,5
4,,,,1.0,876.0,0.002412470299453263,-0.00024185550570859915,0.4942922374429224,test,5
4,,,,2.0,3220.0,1.9109376965518984e-05,-0.0005517298527705217,0.4751552795031056,test,5
4,,,,3.0,16.0,-0.010811679590497579,-0.008666043690386538,0.3125,test,5
4,0.20861858701895802,0.0007460478931883915,3.0,,,,,,,6
6,0.11892560156123837,0.003747884271213912,3.0,,,,,,,6
8,0.13281487183735122,0.0027852166588661262,5.0,,,,,,,6
10,0.11661515831068278,0.0007873176724457051,6.0,,,,,,,6
4,,,,0.0,939.0,0.001833959230340663,-0.0008748906386701893,0.48775292864749736,validation,6
4,,,,1.0,1526.0,0.00030451807482780605,-0.0004667666896520095,0.48623853211009177,validation,6
4,,,,2.0,2996.0,9.966637439670552e-05,-0.00046399904437627315,0.47630173564753003,validation,6
4,,,,3.0,33.0,0.0056066256907954075,0.0012278978388999828,0.5151515151515151,validation,6
4,,,,0.0,1127.0,-0.0038203795045576444,-0.004565746753246724,0.4010647737355812,test,6
4,,,,1.0,1906.0,-0.00020779675063611615,-0.0003196389200812999,0.48898216159496327,test,6
4,,,,2.0,2362.0,-0.00011931502175264398,-0.0004613254602723327,0.4758679085520745,test,6
4,,,,3.0,183.0,0.0007720857377364555,0.0033112582781458233,0.5300546448087432,test,6
4,0.17302431893091683,0.000610178458771798,1.0,,,,,,,7
6,0.06906820889416143,0.0018958075728227133,3.0,,,,,,,7
8,0.0758829588425291,0.0004078069556006209,2.0,,,,,,,7
10,0.07371607090087055,0.000459417381065477,2.0,,,,,,,7
4,,,,0.0,1149.0,-0.0037659452929615024,-0.00452532254958582,0.402088772845953,validation,7
4,,,,1.0,2456.0,-2.8516034554696292e-05,-0.0004212794127207986,0.4776058631921824,validation,7
